CREATE_2D
18
-91343 48116 -54239 83442 -99252 -49138 53672 -59689 -30218 87516 97361 57517 14498 33061 -3954 77100 25581 9620 
71923 -62190 -40433 -55806 -61495 -68682 71829 989 -47114 -21140 -77772 79394 35569 50525 1982 44084 -20352 66701 
-1057 -89091 -76594 -40166 19634 81984 55399 61839 -80460 -11700 73435 -8026 -69157 2952 25606 88756 -69309 69701 
-17444 85682 50403 61754 -20375 -14045 -85591 -58111 -66161 71308 28424 17009 -23745 -25829 64687 63567 -51638 63249 
97294 -69041 77734 -44965 72024 9659 -97098 75781 -10736 57334 79547 94083 -76910 8824 7084 89381 57090 -71871 
87542 61849 -37304 -83594 -39188 27449 -85321 84339 -31586 85254 24377 23815 -41275 81511 -32268 33319 20979 -38474 
91133 -81175 68860 -26643 -90441 86559 -38168 25930 99610 -25528 -47958 20348 -10734 40009 -73244 70371 69981 -67366 
89574 59545 -68562 -22013 -80162 -91560 20704 45761 -82870 -87676 77166 -73044 -27789 -1430 -50793 -39732 89754 8191 
-18469 -54589 -35106 -18296 -93487 77795 -43786 -86507 -49805 73045 67719 54336 27080 -35535 -52858 -97851 -61179 -33629 
-5338 -1175 59832 -57127 -24300 26140 -70173 -38650 -535 -86466 61203 87261 62317 90148 68829 -9339 -45513 76532 
84064 97665 47325 81324 -35826 -69525 51006 80310 8685 18539 -9264 -52827 -89296 -84345 1156 -94787 -57349 25237 
99924 50418 57947 -62602 -33504 -47003 58965 94460 -65140 53891 -8674 82221 -29766 -51168 -48520 59531 37854 29048 
-27348 -66549 98535 -48318 65005 14241 14078 -34467 28088 92498 -82426 94803 93092 29247 -54260 -99499 31564 -12403 
8451 -965 32608 -46607 -7815 -2662 26326 71658 92915 -77469 91327 -17134 22963 98538 39267 -84005 -156 -57016 
-25282 -33293 45912 18715 -6506 -71725 -43723 -76499 2068 9886 37433 42656 61485 86021 -5535 5845 24370 -45775 
-21637 -35734 -54106 64210 59255 -20744 -54814 -15768 78487 95846 59155 -6356 -52870 -65556 44293 35756 -6449 73283 
-46121 57290 67808 53265 -10699 -77858 64260 91463 -60100 38116 -77527 -68758 22074 -56007 -27212 26674 -31573 42109 
28733 -42257 9243 -6330 -193 -71514 -4903 55549 63772 -73311 95974 -11949 -78023 -38605 51845 -75037 -30328 -7345 
SORT_2D ascending
-82806 -59369
-55969 -38024
-95083 -49480
13174 33003
-32375 -844
-67729 16072
-18657 24405
-54653 -92115
87095 -37894
39239 -31340
56709 -6655
-70351 -47631
61516 -64458
74462 12728
17624 75032
190 97636
-53281 -24555
96159 -88619
99956 29709
12033 10269
-16016 55564
-35420 -64437
6511 92407
-3184 1055
-42901 43858
-22736 31004
-92385 44593
2972 38219
-42360 52167
-95429 -11025
56113 -49779
29129 -21105
-38306 96755
-54175 -83888
28820 34843
94119 -26968
-24257 -61364
667 -52001
-77791 58955
-13268 42414
87837 1940
-79319 43358
33862 -55623
-41741 33440
-54887 77335
-42800 -51257
-11208 89988
87780 73380
45091 80113
-932 -70377
-85457 -51286
-28037 -5881
64941 99258
13460 -26902
66090 17649
-96639 -27823
11287 -10307
26221 48102
-90877 47900
-74608 25426
-46505 95273
-71289 98135
21653 99589
34742 -99677
30626 -22344
-66458 39344
82477 75334
39743 22642
42853 -45312
87284 48762
7050 -79507
-97167 13608
-9669 -98959
2816 45375
-66817 99496
74798 63731
-65870 -8826
-95838 -80557
-58152 -89722
33791 -66816
-80627 6929
46575 99306
48171 -80641
30709 79965
-89820 49622
-66349 -22290
-93381 17411
-18613 94194
4811 35780
-64689 37689
-94600 80601
37236 -7757
76869 -60715
-98756 -13749
-26882 -60300
-93901 -68100
-55307 93070
66492 61855
-1823 -65152
61886 51130
49161 -45787
-27313 -53988
-39174 -30395
97081 -28902
-54706 -74501
67632 -29789
16720 65551
-83044 -88202
27734 24059
-65672 44018
-69619 17669
-77523 -10134
1888 -38205
-1621 -52785
-32861 86136
74896 86357
-33945 -26453
-55704 -79034
34432 -42197
49621 -69019
3734 -86518
92192 -55565
7121 21803
43681 78668
73430 81938
-97651 -26135
84104 -23328
-35551 -29284
91740 -99855
79828 38255
-83791 -54890
46394 88437
18019 45921
-63117 -34619
44792 71720
-11665 43509
58763 -40757
-99003 -78952
97630 -80833
-4690 -29959
-89028 50094
-367 -61573
-14474 -2779
19968 98688
-43081 63772
-96566 93640
-66634 -2640
-11081 48195
-33466 3230
11538 64378
-73356 -4141
-12735 -40866
-44252 -41874
-74667 -45880
7353 -71140
-16944 -86856
-11991 61902
-82108 63236
-65200 79778
-28986 -30237
-54890 -37411
-52357 -92474
-26980 -92756
63579 -96673
-39558 -77377
-5818 -90228
-45581 -75076
-9855 14999
85394 22361
-88267 41032
97101 39898
74717 96619
-74469 43110
-46161 -831
-97269 -46479
21001 -56762
-11799 -53938
-7280 -80982
52215 -92795
-65257 29441
34242 44738
13897 91976
-82303 70177
-81116 38088
69953 15589
64344 -23191
93417 -16753
-89389 -97443
7670 -89224
-24477 -34362
82457 60848
-16467 -31852
-84935 -25815
8051 -20066
8564 -71076
-15837 -62310
8346 -58803
15761 21027
81107 35475
-68861 -67141
-56560 -43298
-85616 17386
79806 -19808
88049 -37257
38100 -40577
-88361 13057
-10956 -35872
-99885 -35760
-65093 -38487
14640 -59114
66226 -71180
80690 -72149
39671 89162
70362 -44223
-92003 -27431
-16564 -9587
25256 -58494
17683 -34107
-25401 79277
60052 -80013
-4461 47755
39419 84071
-26727 -79319
29430 62334
-44908 -84115
94631 47099
23922 -8938
3877 83911
59496 -63827
-2829 59111
68639 -8395
-91483 26107
12562 4507
-94163 29606
-66820 -12921
84282 -40320
-9065 -77087
-30990 -80665
84566 -69628
-32838 63426
-68663 -78917
-32729 -1488
75543 -33152
58013 2124
-60944 -74326
86096 95732
72149 -91692
36588 58210
-20811 -74037
-9018 71455
77840 -77569
51021 -24197
95457 -6121
9025 -85126
-1026 90203
-25054 -50268
69938 -55577
-45977 -30771
-82034 -96542
7164 18922
-63692 -31599
-10662 -41057
22435 24163
12076 -81314
90782 41664
-28697 -9697
-10594 45009
60447 76541
-32964 -46013
53927 53560
58679 -94113
61966 -95604
39028 82410
83539 68216
32367 -95458
78701 -22586
-59215 24819
-52258 24955
71977 -55258
-6489 85933
7894 -12690
70877 2688
-14690 57872
-41322 97632
68673 -18954
79611 -77145
-61151 -59342
74721 48650
-32695 16617
26419 15002
-20140 -57442
76540 63316
33102 -70302
-94806 67813
-35330 62447
-43459 53459
66081 17387
70658 -23428
26934 -9105
-11121 -19423
-73927 83438
-97782 4882
14620 10434
93096 -66201
-91657 -40066
-14805 -84098
30850 55920
-60458 -26828
-81766 -66557
-44801 28006
55663 47736
-98423 4944
49119 -80194
19504 -61931
33270 -7152
-59620 81725
63790 -53089
-3246 33895
-57472 41953
32714 9157
-34393 89807
-57519 -20578
-85696 -70097
95158 63521
95642 23975
5763 -27078
-61144 -30185
-28456 -42208
91241 -30195
21491 -92382
40443 78200
14448 -66742
30414 46458
-26594 -8908
97085 -16321
52618 27724
15585 43207
64911 -35287
-82670 -83530
-92386 78896
-35849 5446
-8395 -18126
-42291 -56141
85153 -25663
86047 -63521
31698 -73981
77770 84209
63108 16115
8209 -11890
-7772 74117
-49260 97966
28344 10251
-26008 8438
92634 -17068
14836 9259
62534 -19390
-28744 21389
-11621 -19002
-64784 85
-50463 61259
94294 57162
3179 -4782
-64326 38880
19087 -99069
63729 -69498
46952 19037
3020 -46792
-48653 -39648
90802 -24983
-41851 -28441
-70582 46879
-9132 53199
-26881 -41050
15769 -87937
-40219 -49457
-35795 -9156
-72942 -29983
-64490 57447
-88791 -92180
-27430 -53149
64957 1624
-9052 -37082
-42423 73866
87084 -47983
-65348 9752
11384 55283
-20292 29529
5089 -90957
-92043 57967
36792 -58343
86078 -28365
-57543 62190
47879 -44190
-86959 -48651
-17243 86451
64830 87672
-60787 -49739
41264 -83669
46379 25761
-66471 -31388
68269 65198
-21428 -79794
95601 76442
81305 -27762
-49264 89521
2823 82004
-92506 9559
59859 52324
-21776 57282
51326 -56618
-17804 -97613
-12999 -51177
38342 -34909
58052 81723
-34748 -24294
84200 17184
63779 5026
68547 -66
-39740 -82930
73212 -8419
-3010 41445
-68465 -49241
-87043 51771
36569 -93095
-12546 -37568
-46502 80836
-94567 -52
-36083 -67393
-48056 95931
-11758 -76087
92958 -20988
2401 44408
36850 -12600
11878 -71402
-20261 12596
89153 84475
99114 -94116
-15855 -8053
-92474 87353
42123 39825
92781 -49270
-94889 -28564
-40775 -53778
3764 -99266
10275 -35458
-4378 38955
6239 -12107
-96191 93567
81677 72022
-78821 -5394
-61410 70046
-45839 3105
98486 -69442
62427 55846
-58507 47964
50634 -62428
58053 80210
2662 41195
-28020 44775
1565 -4615
-94420 -89782
-26903 -71875
77889 -97639
-11903 34023
-84691 -95893
-73055 -80441
-70351 84812
14515 8906
-39619 -25107
-3144 -64654
39003 1487
-57818 -60972
-34780 -81467
26620 -67815
-28087 64369
-56182 -26377
56351 41022
56559 -24513
50079 -75421
-21209 -81534
-68679 -85081
19677 -1622
-34359 634
88005 7172
94710 -90240
-6298 -75017
-31994 -58806
85025 -5916
73495 41327
-66921 -73428
-93348 -34226
-52957 81741
60780 -35755
37414 -95215
-4619 -73337
-89735 -77298
4269 -55810
-58656 63770
-39073 -7422
79121 -4856
73529 -22063
92404 -14046
-99879 38937
-30972 -25533
74644 86561
83805 34135
-85836 2756
44204 -15653
61689 27110
33021 69142
97050 30129
39555 32738
25320 -38857
-9728 46307
-14436 70300
-95388 -95987
-76587 40539
42493 85993
59034 72134
-8206 -72108
-93150 14407
85512 36931
49811 -62452
10945 -57374
-8636 80612
72405 -97379
-27169 9494
-39465 -95757
-84030 -23713
-63755 33414
55151 99790
55143 -49022
-8011 -75360
-20344 -51295
61153 82928
-51692 -31747
17159 -19065
-68393 -75508
-99459 34449
25942 -55213
-4458 98490
72160 1926
-81303 20707
78480 -65412
44657 -35680
93569 52231
10465 -55007
-19089 83226
-92022 -57568
47712 78589
-84521 18953
30922 -46698
-97277 -22261
24034 1269
-14591 85697
32240 -52934
32049 30438
-10413 -17536
20835 95183
15642 29931
48849 -3990
-9653 85036
19318 90379
85742 82358
81082 -26444
-69361 9346
-13488 -74113
-72673 -5885
-3247 9121
-17576 -60036
-39581 62917
38489 -87599
-16856 84971
-28915 -19576
90139 46007
46803 -50008
-87878 30146
25876 64138
40534 -47398
-12643 89875
-7713 80375
-6438 -57961
2797 89118
-4285 -83699
18941 -72478
-77160 -36362
-6035 38220
-82900 -84634
28275 -45647
71551 46288
-241 93310
27033 67025
-60565 -87449
-27720 49934
-54136 -81192
-56798 97209
24100 47161
61692 80259
80838 40069
-92447 70816
-50105 39061
-829 97709
-92954 -56015
-6075 -18675
-80003 57605
20569 -2105
-61754 -58684
-28957 -21745
-45177 -88847
-69788 -6348
4389 16047
-93506 95128
72457 -30017
60353 20301
-61029 -23739
25082 19680
25649 67716
4267 -62329
80183 62095
-94123 31473
96092 66975
35079 -45729
-78505 -80158
-1677 26706
39281 1613
62516 -42768
-56764 -27064
-51117 47565
-24171 -5369
-70756 5558
62800 99575
23821 99839
-9306 54156
-14869 -64689
-97730 59828
-20966 -53583
91048 42541
53356 -23400
43651 94516
618 37918
-49295 56627
96568 39886
-57422 7516
-6927 99453
-68426 -32750
18966 9777
77952 14152
-18135 -41174
52584 -35455
66721 84181
-10680 -7782
3846 49259
-15280 -68039
-1488 85763
30416 85063
-85227 -93163
30304 94099
-66439 6553
5589 69539
6844 -28075
28727 89692
37722 -60825
-92119 85257
78315 38559
-40049 -71047
-89942 -59424
19860 -60339
-81129 41160
-21520 -31810
16925 -15219
14444 -29012
1092 -96636
-66968 55363
66763 -86756
-17072 76810
-56363 -4637
-26942 78987
14177 973
55816 -20907
29179 -34493
-52330 28385
86215 49436
2212 44266
39249 67300
50723 62737
1693 -15710
71713 -12672
-6292 26472
-42532 -80559
-96073 -53750
20158 59231
88530 46965
53024 61476
-49127 6709
-24308 -48488
-20616 -68248
14146 -74237
-38481 49008
-81827 52358
85249 -70877
-14570 -27480
-96642 -16543
-55558 11274
8756 58824
17027 40941
84485 87262
-40428 -16901
81914 -87916
10935 -86716
-54916 -18518
2616 90723
-10285 -11908
-73571 -4442
13224 -65293
34650 52200
87778 81901
33729 35758
70299 -37099
-27461 -71801
14370 86587
-56551 35901
84003 -34455
-88811 16309
87642 30804
93345 -10793
82484 -44828
-2260 -70771
60665 -35205
-77617 -72753
-95193 8647
-62830 35570
-74647 -36319
-58077 51988
46630 44982
-72182 96708
21242 -16154
-74943 -19675
-20055 17931
62392 -44114
13460 35512
18851 -66376
-27363 -14294
21525 89921
69260 54359
82708 49427
94036 -43457
74799 38222
-52984 72257
23897 -88454
-44867 -9073
-49665 -83071
-65267 40048
15691 61266
-18899 -14234
2797 12282
-81161 48911
-55568 57646
64304 -10636
-18290 54767
-34953 37224
-20411 60804
-84574 -91627
33301 66223
41132 -90317
65078 -9793
-25408 -16154
91935 -26385
66898 -34003
89672 94112
-69226 88500
-94349 -92184
-24334 45683
-8668 -42997
69963 74527
-65988 -51937
9897 68248
81916 1153
-69151 21177
-97975 -50527
48857 85896
-20094 -72820
1932 85176
-94245 4550
30094 70308
53747 -87709
83236 27790
-14342 82255
-98384 1166
35454 -1822
96439 -67029
-54872 71246
23606 72880
-89214 82006
-33869 -8917
-92596 -29489
-23384 -29607
86503 8847
37804 -79834
42481 1836
28892 -38360
-43951 -71589
-69158 -64756
-27824 -29944
-82510 61023
62501 67338
92447 65499
98804 14094
-45130 -29615
-61986 57038
95022 8982
-52430 -24755
-48112 32140
-5622 9147
-96155 -61864
-25047 45020
-38624 54556
-4438 -62012
99224 73199
4845 -55009
-67201 -30303
29589 -33756
49394 -90169
-52043 -69816
18376 -37036
72075 36636
96220 2278
56522 32255
98329 -97708
-13725 35304
47954 32700
1963 69973
-99535 76760
27064 -20689
-58589 -88629
36797 -24487
28058 241
58302 37846
53637 -95324
29796 9130
10969 -407
-73480 27493
-12480 44337
-9453 30998
88336 -65248
1828 -52600
69308 -88322
47744 51691
4902 -39507
-13778 -46564
-25147 -21126
2351 -28082
40356 -28609
-93545 -45269
41535 26808
49190 -20467
77671 -3900
24270 70929
-93967 -80470
61986 -11906
-61766 -28556
-35178 -60822
-29938 76629
-7708 57227
50204 98297
30745 -13565
79652 33929
25120 -18465
-79200 18643
-82821 41782
8491 47269
-57763 -93582
-21976 23883
-4304 19407
83204 86024
-52552 -70626
27002 -70770
-42175 -35065
76968 -99963
73589 21310
12489 -89309
-55699 -59029
-97182 10066
71976 -6533
78805 77485
47092 -26635
-27687 31619
-16434 59184
-5935 4741
18719 -27257
-26534 85917
-78710 47805
-27532 9111
-62244 56748
-18439 18873
-61267 -34566
-66020 47529
-41941 -99385
97413 -32121
64063 -42127
36953 56479
-93561 81533
-13497 -29720
-1518 93330
60106 43219
-45476 -62558
29374 15808
91325 -35746
-16182 82614
51561 13025
3384 37803
-78492 70519
-38118 26080
-16259 91557
40043 34009
48706 79069
-84853 17390
-59898 25802
29201 -44196
-36619 -28516
65544 -10541
60366 -17263
72393 -17538
-27990 -36843
72847 -15938
-29352 10437
76425 -69889
58582 51165
-81512 95237
-84876 -59315
44560 99349
45366 53728
36407 89362
-4353 18143
96257 10967
88545 -26824
-41367 42552
55031 24187
61162 -597
-32464 71977
53731 -87380
-12331 27096
56858 -52618
81353 -57167
37283 -20389
17978 -2663
65516 33606
33526 37511
-34531 -48791
-7830 70072
87296 23065
16104 -94175
62719 -7444
49056 3434
8994 -95174
63920 -93527
-89030 96283
87516 27322
87593 41605
60287 -86988
-70833 -28994
-29568 21442
-82418 -70500
66877 -41367
22121 -65302
38686 8647
21945 -59161
-12543 16732
17521 -2404
-33611 -41997
37862 30053
-75001 48715
-59597 -26635
89117 99334
59222 -47940
-91550 48392
23135 -37464
69788 -36470
72378 -42870
78758 11617
76804 97281
-60293 81048
-88681 15468
63706 63143
-56688 26523
-99683 60621
36377 -33451
11506 -42793
-87680 15528
60789 41134
-15119 58315
9333 -72497
-76446 -32877
81379 92824
-23393 87050
-25902 -36069
-47820 -21081
44910 33735
-28776 -94548
57864 90583
82970 70494
-56627 -69205
47691 19916
54267 -66590
96945 -79609
57882 -67292
48349 -38660
-87357 -29974
-26847 -87716
43659 18779
-14383 -79777
84213 -66898
-51388 53075
-96108 -56262
13972 93893
54072 34671
99731 -61407
89360 87146
93557 -30139
-64180 31797
-83586 -71734
72154 -94847
-4548 -85712
25560 -96361
-40598 62730
20813 -93413
-93116 45385
-25505 -66057
41379 90474
30395 -8739
45844 31656
-53266 -4604
-57255 -95574
-1196 67813
-90851 38552
-36549 89947
90059 -66356
-95018 -39885
-33903 66584
-6150 -83244
61372 28214
61802 83196
-11069 17792
99459 -63510
-39290 43210
-10038 -3244
-24501 93651
-85209 49254
-3578 43779
-26777 57481
-57129 80833
21624 71455
37844 73719
-95470 -70494
-59272 -95271
-98908 49445
15964 -42522
65550 -12975
37050 -17030
-15332 87455
16085 56124
-74296 -7348
-54503 -96390
32690 68823
90704 -82975
5211 -71126
86443 14806
-29740 -46921
25856 33005
86603 -9193
-23913 -15688
-17641 84745
-81240 32834
-68913 -70758
-67539 -90800
-57369 -9889
67959 -49115
-20586 -2192
-17448 81942
65219 -88419
67585 83809
26485 -50225
-16672 -62002
49229 -94275
-99116 97268
28305 -59099
-74569 74840
17594 -97523
96582 81667
55296 -80464
-92942 -25268
-9233 -42313
67562 -3801
-72848 -34018
98413 12272
27360 -59770
-17950 10426
70862 66989
31520 -70403
-60394 -55630
-56047 17857
96106 92850
-73555 15802
49608 -66926
-79419 -85469
-34392 -38360
87627 -20568
53691 91597
-89554 -91490
79700 23111
-61660 82150
-93172 23863
20598 -50779
-10948 38756
-22351 -6162
-79774 -50716
-85677 -20861
-62541 -33390
-62821 -10611
-64182 -6827
51067 -2925
10880 42619
-61146 -10845
59235 -19125
-58117 97171
5763 43351
88843 -76442
-87150 39684
-90105 54916
70581 80377
97662 11640
-4841 -53766
67462 79761
-75868 -7247
-92575 84231
-3999 -23662
78353 28650
-66047 92454
66800 72972
94738 -79712
-40251 5392
-36841 63394
24728 21374
-57745 28509
-20382 -6590
-40344 -98356
10971 86228
-55505 -7129
-32019 -56742
-69443 55707
31895 -89900
90048 -3782
-69208 -39294
40203 -16952
-72478 -9641
-73115 15713
-14245 -52679
-11550 -14740
31055 68567
32883 -16244
-88635 66145
87792 42938
-32829 -18606
-91215 -99159
-42733 -33089
21531 29503
6042 10875
-28334 36111
52301 -47752
-49414 3079
63588 72283
-50689 -85158
-92596 40293
-92750 -93991
95487 12010
90412 -50394
-93986 -13662
68319 15493
36819 -94712
-18088 -47152
-9814 -96165
-28146 64994
5996 -90161
31531 -7645
-17607 34779
